Time,X-cord,Y-cord,Mag_x,Mag_y,Mag_z,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Orn_x,Orn_y,Orn_z,Pressure,
2021.02.13 18:49:03,40.0,24.0,18.779999,2.58,-24.9,-0.1340794,0.48124924,9.63935,0.03621881,0.0395859,-0.037522398,-0.049879249185323715,0.013908691704273224,-1.365858554840088,1015.1831,
2021.02.13 18:49:03,40.0,24.0,18.9,2.7,-24.96,-0.038308397,0.44533512,9.613013,-0.08900857,-0.06853725,0.050442196,-0.04629281163215637,0.003985034767538309,-1.3685179948806763,1015.1831,
2021.02.13 18:49:03,40.0,24.0,18.9,3.1799998,-24.84,0.17478207,0.49082634,9.8787775,-0.058465302,-0.035550527,0.054107387,-0.0496363490819931,-0.017690837383270264,-1.3474617004394531,1015.178,
2021.02.13 18:49:03,40.0,24.0,18.9,3.3,-24.72,0.15802214,0.6057515,9.696813,0.005064684,-0.017835433,0.030283643,-0.062379803508520126,-0.016294853761792183,-1.326298713684082,1015.178,
2021.02.13 18:49:03,40.0,24.0,19.02,3.4199998,-24.66,0.071828246,0.47167215,9.543579,0.005064684,-0.019057164,0.024785858,-0.04938140884041786,-0.0075262002646923065,-1.334425926208496,1015.1809,
2021.02.13 18:49:03,40.0,24.0,18.84,3.24,-24.539999,0.07901107,0.6057515,9.703996,-0.031587232,-0.008061589,0.02967278,-0.06233994662761688,-0.008141937665641308,-1.3261569738388062,1015.17993,
2021.02.13 18:49:03,40.0,24.0,18.9,3.06,-24.42,0.035914123,0.4836435,9.744699,-0.023035118,-0.032496195,0.035170566,-0.04959041625261307,-0.0036854869686067104,-1.3499552011489868,1015.17993,
2021.02.13 18:49:04,40.0,24.0,18.84,3.12,-24.3,0.37111259,0.6057515,9.454991,0.020336315,-0.028220143,0.031505376,-0.06393032521009445,-0.03923030570149422,-1.3414360284805298,1015.17334,
2021.02.13 18:49:04,40.0,24.0,18.42,3.0,-24.06,0.26337022,0.65842557,9.641745,0.0013994923,-0.036772255,-0.00514654,-0.06815784424543381,-0.02730882726609707,-1.3342622518539429,1015.1775,
2021.02.13 18:49:04,40.0,24.0,18.9,3.1799998,-24.119999,0.105348095,0.6656084,9.495694,0.016671123,-0.017224567,-0.025305092,-0.0699770599603653,-0.011093846522271633,-1.3232501745224,1015.1775,
2021.02.13 18:49:04,40.0,24.0,18.539999,3.0,-24.3,-0.08140534,0.57462597,9.627379,-4.3310347E-4,-0.017224567,-0.026526824,-0.05961379036307335,0.008455405943095684,-1.3325926065444946,1015.1865,
2021.02.13 18:49:04,40.0,24.0,18.539999,3.1799998,-24.66,-0.0071828244,0.55786604,9.749487,0.0117842015,-0.014170242,0.013179418,-0.05715769901871681,7.367385551333427E-4,-1.3281630277633667,1015.1865,
2021.02.13 18:49:04,40.0,24.0,18.6,3.36,-24.84,0.08858817,0.63208854,9.423865,0.021558044,-0.003785532,0.022342395,-0.06696990877389908,-0.00940013024955988,-1.3111392259597778,1015.18384,
2021.02.13 18:49:04,40.0,24.0,18.18,3.54,-25.019999,0.08858817,0.65124273,9.90272,-0.041361075,0.018816482,0.010125091,-0.06566683948040009,-0.008945602923631668,-1.297255039215088,1015.18384,
