Time,X-cord,Y-cord,Mag_x,Mag_y,Mag_z,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Orn_x,Orn_y,Orn_z,Pressure
2018.12.18 19:37:51,53,24,31.60553,9.71222,-14.06555,-0.29381,0.22205,9.17139,-0.06789,0.02321,-0.19772,288.59247,-2.41435,-0.44188,0.077
2018.12.18 19:37:51,53,24,31.12946,10.11963,-13.65814,-0.27945,0.02971,9.7787,-0.07535,0.03386,-0.04114,289.60211,-1.78787,-0.96837,0.077
2018.12.18 19:37:51,53,24,31.31104,10.07233,-13.26141,0.34744,0.44431,10.36449,-0.04552,0.00937,0.00148,289.31183,-1.36415,-1.05046,0.077
2018.12.18 19:37:51,53,24,30.71289,10.13489,-13.59253,0.09924,0.40201,9.80904,-0.01569,-0.00449,0.03557,289.18729,-1.39675,-1.01001,0.077
2018.12.18 19:37:51,53,24,31.10657,10.5896,-13.1134,0.11121,0.21407,10.61429,0.077,0.0051,0.05261,288.87735,-1.48563,-0.78287,0.077
2018.12.18 19:37:51,53,24,30.00641,10.08759,-12.35962,0.41168,0.29427,9.92397,0.00562,-0.01514,-0.04753,288.7926,-1.57595,-0.61475,0.077
2018.12.18 19:37:51,53,24,30.75104,9.92889,-13.32245,-0.30298,0.11909,10.36369,-0.05617,-0.06094,-0.05923,289.33804,-1.56481,-0.36791,0.077
2018.12.18 19:37:52,53,24,30.33905,10.2356,-14.04724,-0.10387,0.21046,9.43155,0.04396,0.00616,0.06752,289.13559,-1.90254,-0.23618,0.077
2018.12.18 19:37:52,53,24,30.80292,10.04181,-14.11896,-0.16612,0.47702,9.93793,-0.02208,-0.00874,0.0654,288.90601,-1.80043,-0.20149,0.077
2018.12.18 19:37:52,53,24,31.53839,9.37042,-13.53149,-0.18327,0.32658,9.87328,0.07379,0.06583,0.05154,288.48828,-2.21897,-0.48162,0.077
2018.12.18 19:37:52,53,24,30.73425,9.88922,-13.57727,-0.13779,0.22005,9.66779,-0.0274,0.06583,0.01106,288.33466,-2.21894,-0.68141,0.077
2018.12.18 19:37:52,53,24,31.36749,9.38568,-13.26447,-0.15894,0.42155,10.22482,-0.02315,-0.0226,0.03131,288.13953,-1.86195,-0.64501,0.077
2018.12.18 19:37:52,53,24,31.48956,9.28497,-12.84332,-0.07953,0.30743,9.9511,0.00455,0.00084,-0.00705,288.08939,-1.92404,-0.70558,0.077
2018.12.18 19:37:52,53,24,30.85022,10.21271,-12.61749,-0.10307,0.38445,10.08238,-0.01036,-0.00449,-0.02621,288.20776,-1.86957,-0.67536,0.077
2018.12.18 19:37:52,53,24,31.44684,10.03571,-13.28888,-0.21201,0.3605,9.90959,0.01627,0.00191,-0.02196,288.43286,-1.97491,-0.79192,0.077
2018.12.18 19:37:52,53,24,30.48859,10.57587,-13.63983,-0.14658,0.33298,10.03809,0.02052,-0.01407,0.01639,288.4147,-2.06431,-0.82874,0.077
2018.12.18 19:37:53,53,24,31.59637,10.17609,-13.58643,-0.03284,0.39722,9.77074,0.0248,-0.0162,0.01213,288.34943,-2.19611,-0.71012,0.077
2018.12.18 19:37:53,53,24,30.99518,9.63135,-13.49792,-0.21719,0.33617,10.08557,-0.03912,-0.05455,0.01532,288.39105,-1.98344,-0.424,0.077
2018.12.18 19:37:53,53,24,30.6427,9.47723,-13.78021,-0.02846,0.35811,9.93314,0.00029,-0.05455,0.06645,288.15753,-1.97096,-0.20343,0.077
2018.12.18 19:37:53,53,24,30.28259,10.14557,-13.33008,0.12239,0.39403,9.98581,-0.01569,-0.08224,0.04729,287.86737,-1.87237,0.29466,0.077
2018.12.18 19:37:53,53,24,30.64575,9.45129,-14.6225,0.07809,0.37207,10.02652,-0.00822,-0.01834,0.02385,287.69574,-1.86151,0.5303,0.077
2018.12.18 19:37:53,53,24,31.71082,9.62524,-13.91449,0.11879,0.32779,9.88885,-0.00078,-0.0226,0.00999,287.66241,-1.90728,0.67416,0.077
2018.12.18 19:37:53,53,24,31.41937,9.34448,-13.79089,0.11121,0.31581,9.99738,-0.01462,-0.03006,0.00681,287.54333,-1.81685,0.82457,0.077
2018.12.18 19:37:53,53,24,30.88074,9.21326,-13.7146,0.27681,0.36848,10.05563,-0.02422,-0.01407,0.00255,287.4129,-1.80853,1.13825,0.077
2018.12.18 19:37:53,53,24,30.6778,9.46198,-13.57574,0.16428,0.38884,10.08278,-0.00504,0.01149,-0.0081,287.53723,-1.84204,1.12426,0.077
2018.12.18 19:37:53,53,24,30.45807,9.729,-13.84277,0.08727,0.26395,9.83658,0.00455,0.01042,0.01639,287.52249,-1.81146,0.88099,0.077
2018.12.18 19:37:54,53,24,30.49927,9.22546,-13.9389,0.19061,0.31621,10.01534,-0.00822,0.01149,0.02704,287.39392,-1.67731,0.88598,0.077
2018.12.18 19:37:54,53,24,30.90515,9.73358,-13.98315,0.1954,0.26593,9.94312,-0.0061,0.00298,-0.00385,287.32776,-1.67193,0.98711,0.077
2018.12.18 19:37:54,53,24,30.82275,9.91516,-14.04266,0.14792,0.25197,9.94949,-0.01782,0.01042,-0.00385,287.39685,-1.54069,0.93999,0.077
2018.12.18 19:37:54,53,24,30.34821,8.97369,-14.1571,0.18982,0.29626,9.92676,-0.0029,0.0083,-0.01024,287.48505,-1.52478,0.93575,0.077
2018.12.18 19:37:54,53,24,30.12848,9.94568,-13.3316,0.13954,0.24359,9.99579,-0.01782,-0.0013,-0.00705,287.52982,-1.49182,0.95172,0.077
2018.12.18 19:37:54,53,24,29.40521,9.33685,-14.09302,0.14194,0.26913,9.96745,0.00668,0.01788,0.00467,287.62778,-1.48757,0.83777,0.077
2018.12.18 19:37:54,53,24,30.75867,10.16541,-13.8382,0.13077,0.21086,10.05803,0.00243,0.00723,0.00467,287.65472,-1.47266,0.80686,0.077
2018.12.18 19:37:54,53,24,30.87311,9.37195,-14.00452,0.17586,0.21965,10.03609,-0.01675,0.00937,0.00255,287.6232,-1.38638,0.7889,0.077
2018.12.18 19:37:54,53,24,30.18951,9.35974,-14.20135,0.05853,0.155,9.87527,0.00775,-0.01302,-0.00491,287.61731,-1.39458,0.81532,0.077
2018.12.18 19:37:55,53,24,30.69153,9.43604,-13.96637,0.19939,0.25676,10.11789,-0.01357,0.01256,0.02385,287.44699,-1.25395,0.68316,0.077
2018.12.18 19:37:55,53,24,30.51147,9.72748,-13.53607,0.1571,0.25037,9.88525,-0.01036,0.01575,-0.00491,287.49249,-1.32334,0.71953,0.077
2018.12.18 19:37:55,53,24,31.38733,9.71222,-13.11188,0.02023,0.19131,9.96785,-0.00717,0.0083,-0.00917,287.5965,-1.2703,0.66745,0.077
2018.12.18 19:37:55,53,24,30.98145,9.53827,-14.22272,0.17824,0.26353,10.02571,0.02266,-0.01195,0.00894,287.53268,-1.31622,0.70006,0.077
2018.12.18 19:37:55,53,24,30.56335,9.35822,-13.33313,0.09245,0.20209,9.90401,-0.00822,-0.01514,-0.00705,287.55176,-1.36961,0.77729,0.077
2018.12.18 19:37:55,53,24,31.65894,9.3277,-14.06403,0.06891,0.1973,9.98062,-0.00185,-0.00342,0.00894,287.4967,-1.29648,0.75996,0.077
2018.12.18 19:37:55,53,24,30.33295,9.34448,-13.8855,0.17625,0.25356,9.9527,0.00348,0.00298,0.00255,287.41998,-1.31444,0.83687,0.077
2018.12.18 19:37:55,53,24,30.88226,10.27222,-13.64899,0.0757,0.20488,9.95747,-0.00717,-0.00235,0.00787,287.44955,-1.24366,0.83798,0.077
2018.12.18 19:37:55,53,24,31.79932,9.51538,-14.04877,0.10841,0.16058,9.96506,-0.01036,-0.00555,0.03236,287.25153,-1.11916,0.74721,0.077
2018.12.18 19:37:55,53,24,31.15692,8.57086,-13.88702,0.17107,0.22684,9.96587,-0.0125,-0.00981,0.00362,287.06213,-1.11861,0.94752,0.077
2018.12.18 19:37:56,53,24,30.67932,9.53827,-14.02283,0.13356,0.17696,10.02611,-0.00717,-0.00555,0.02811,287.01266,-1.06085,0.95084,0.077
2018.12.18 19:37:56,53,24,30.67627,8.57544,-13.80768,0.26804,0.18852,9.96506,0.00562,-0.03432,0.00681,286.8324,-1.04511,1.17798,0.077
2018.12.18 19:37:56,53,24,30.25208,9.45892,-13.74054,0.20299,0.24478,9.96068,0.01094,-0.00555,0.00362,286.88257,-1.11624,1.25577,0.077
2018.12.18 19:37:56,53,24,31.09436,9.85413,-14.58588,0.1978,0.18373,9.85573,0.00455,0.00403,0.02278,286.81693,-1.12126,1.1901,0.077
2018.12.18 19:37:56,53,24,30.23224,10.21271,-13.75122,0.24847,0.1985,9.93074,-0.00397,0.00403,0.01106,286.82608,-1.13881,1.24017,0.077
2018.12.18 19:37:56,53,24,30.23224,9.24377,-14.25629,0.26804,0.20848,9.92036,-0.01675,-0.01407,-0.00172,286.85248,-1.10493,1.3181,0.077
